County,PAC,a1,a2,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,f1,f2,f3,f4
玄武区,320102,12121,12,708.36,107834,0,40.97,667.39,65.24,8699,38.34,51277,38871,0,0,0,0,0,0,0,0,0,0,0,0,0
秦淮区,320104,20926,44,805.49,78271,0,63,742.49,102.24,20865,63.26,57542,37678,0,0,0,0,0,0,0,0,0,0,0,0,0
建邺区,320105,11624,7,522.86,115371,0,246.27,276.59,45.45,5476,29.3,44980,27792,0,0,0,0,0,0,0,0,0,0,0,0,0
鼓楼区,320106,22654,28,1178.65,91767,0,97.23,1081.42,127.56,24068,75.98,50526,30839,0,0,0,0,0,0,0,0,0,0,0,0,0
浦口区,320111,13695,343,822.3,110882,37.75,427.7,356.85,74.94,823,41.2,43687,29112,0,0,0,0,0,0,0,0,0,0,0,0,0
栖霞区,320113,10506,217,1286.57,190914,7.12,871.63,407.82,67.98,1719,36.02,44612,32737,0,0,0,0,0,0,0,0,0,0,0,0,0
雨花台区,320114,5583,72,491.57,116155,0.89,130.39,360.29,42.69,3225,21.13,44486,27538,0,0,0,0,0,0,0,0,0,0,0,0,0
江宁区,320115,17123,669,1652.52,139183,56.08,862.42,734.02,119.14,762,74.31,44735,28693,0,0,0,0,0,0,0,0,0,0,0,0,0
六合区,320116,11530,502,951.04,102163,56.16,554.98,339.9,93.44,635,49.08,42591,27477,0,0,0,0,0,0,0,0,0,0,0,0,0
溧水区,320117,8254,489,603.94,142961,36.24,311.29,256.41,42.44,399,31.23,40685,23748,0,0,0,0,0,0,0,0,0,0,0,0,0
高淳区,320118,5300,323,564.5,133436,38.05,281.82,244.63,42.47,537,31.25,41588,25855,0,0,0,0,0,0,0,0,0,0,0,0,0
崇安区,320202,11616,7,468.41,202863,0,24.1,444.31,23.1,14438,16.42,43295,30033,0,0,0,0,0,0,0,0,0,0,0,0,0
南长区,320203,11358,37,269.53,70789,0,75.46,194.07,38.1,15875,13.56,43295,30033,0,0,0,0,0,0,0,0,0,0,0,0,0
北塘区,320204,9713,72,272,79824,0,64.5,207.5,34.1,11000,12.56,43295,30033,0,0,0,0,0,0,0,0,0,0,0,0,0
锡山区,320205,15300,649,650.18,92598,17.78,339.84,292.56,70.28,1761,45.63,43045,21355,0,0,0,0,0,0,0,0,0,0,0,0,0
